SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/glm	DS4_GLM_STREAMING_DECODE_SYNC_EACH_LAYER	ROCm-only third-priority legacy value: a nonempty DS4_ROCM_GLM_STREAMING_DECODE_SYNC_EACH_LAYER wins, otherwise a nonempty DS4_METAL_GLM_STREAMING_DECODE_SYNC_EACH_LAYER wins, otherwise this name is read; nonempty values are true except exact 0 or case-insensitive false/off/no; unset/empty: false; non-ROCm builds always return true and ignore this name	On ROCm non-static GLM SSD decode, opts into ending/synchronizing commands after token mapping and after every layer; the default keeps ordered work alive across layer mappings. Static-map decode bypasses this control.	ds4.c:49781
runtime/glm	DS4_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER	ROCm-only third-priority legacy value: a nonempty DS4_ROCM_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER wins, otherwise a nonempty DS4_METAL_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER wins, otherwise this name is read; nonempty values are true except exact 0 or case-insensitive false/off/no; unset/empty: false for compact prefill; full-layer prefill and non-ROCm builds always synchronize and ignore this name	On ROCm compact GLM SSD prefill, opts into ending/synchronizing commands at every layer boundary; the default carries ordered work across mappings, while full-layer expert-cache prefill always retains the boundary.	ds4.c:42397
runtime/glm	DS4_GLM_STREAMING_TOKEN_PREFILL_MAX	unsigned token limit; backend-specific ROCm/Metal variable takes precedence, generic is fallback; default 0 on ROCm and 64 otherwise; invalid/overflow falls back, numeric prefixes accepted; 0 disables token-major streaming prefill	Set the largest SSD-streaming prefill handled by the token-major decode-like path.	ds4.c:49684
runtime/glm	DS4_GLM_SYNC_TRACE	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Log GLM checkpoint/resume and dense-versus-indexed prefill decisions.	ds4.c:63368
runtime/glm	DS4_GLM_TP_DEBUG	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Print CUDA/GLM tensor-parallel dispatch, gate, selected-ID, and failure diagnostics.	ds4.c:44083
runtime/glm	DS4_GLM_TP_EXACT_PREFILL_MAX	integer suffix limit via atoi cast to uint32; default 64; nonnumeric becomes 0; negative values wrap to a very large unsigned limit	Set the maximum two-way TP suffix that uses exact token-by-token prefill.	ds4.c:63310
runtime/glm	DS4_GLM_TP_HEAD_SPLIT_MIN	cached integer token threshold via atoi; default 64; negative values clamp to 0, nonnumeric becomes 0; 0 admits all otherwise-eligible batches	Set the minimum batch size for GLM tensor-parallel output-head splitting.	ds4.c:38513
runtime/glm	DS4_GLM_VALUE_NO_TILE16	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable the CUDA GLM 16-token tiled value-projection kernel.	ds4_cuda.cu:36806
runtime/metal	DS4_METAL_ARGSORT_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the argsort Metal kernel source file loaded at runtime.	ds4_metal.m:4943
runtime/metal	DS4_METAL_ATTN_OUT_STAGE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for attn out stage.	ds4.c:65151
runtime/metal	DS4_METAL_BIN_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the binary operations Metal kernel source file loaded at runtime.	ds4_metal.m:4952
runtime/metal	DS4_METAL_COMPRESSOR_PAIR_NR4	presence control; unset: off/default; any value including 0 enables	Selects the NR4 compressor-pair variant.	ds4_metal.m:2651
runtime/metal	DS4_METAL_CONCAT_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the concatenation Metal kernel source file loaded at runtime.	ds4_metal.m:4945
runtime/metal	DS4_METAL_CPY_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the copy Metal kernel source file loaded at runtime.	ds4_metal.m:4944
runtime/metal	DS4_METAL_DECODE_INDEXER_SPARSE_THRESHOLD	integer in {64,128,256,512,1024,2048,4096}; default 1024; invalid restores default	Sets the compressed-row crossover from dense to sparse indexed attention.	ds4.c:20352
runtime/metal	DS4_METAL_DECODE_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; a layer index selects one; 0/false/no/off disables	Prints timing/profile diagnostics for decode stage.	ds4.c:17568
runtime/metal	DS4_METAL_DECODE_STAGE_PROFILE_LAYER	single unsigned layer index; unset/empty: all layers enabled by the parent profile; invalid matches no layer	Restricts the corresponding shared graph stage profiler to one layer.	ds4.c:29120
runtime/metal	DS4_METAL_DENSE_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the dense matmul Metal kernel source file loaded at runtime.	ds4_metal.m:4936
runtime/metal	DS4_METAL_DISABLE_AFFINE_ROPE_PAIR	presence rollback; unset: automatic/default path; any value including 0 disables	Disables affine RoPE pair.	ds4_metal.m:25171
runtime/metal	DS4_METAL_DISABLE_ATTN_OUT_HC_FUSION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables attn out HC fusion.	ds4.c:20477
runtime/metal	DS4_METAL_DISABLE_ATTN_OUT_IDS_CACHE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables attn out ids cache.	ds4_metal.m:27771
runtime/metal	DS4_METAL_DISABLE_ATTN_OUT_LOW_DIRECT	presence rollback; unset: automatic/default path; any value including 0 disables	Disables attn out low direct.	ds4_metal.m:27760
runtime/metal	DS4_METAL_DISABLE_BATCH_HC_NORM_FUSION	nonempty value other than exact 0 disables; unset/empty/0 leaves the default enabled path	Dominant rollback for batched HC norm fusion.	ds4.c:20457
runtime/metal	DS4_METAL_DISABLE_COMPRESSOR_APE_ADD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables compressor APE add.	ds4_metal.m:25393
runtime/metal	DS4_METAL_DISABLE_COMPRESSOR_EXACT_POOL_RATIO4	presence rollback; unset: automatic/default path; any value including 0 disables	Disables compressor exact pool ratio4.	ds4_metal.m:26379
runtime/metal	DS4_METAL_DISABLE_COMPRESSOR_PAIR_PROJ	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables compressor pair proj.	ds4_metal.m:23248
runtime/metal	DS4_METAL_DISABLE_COMPRESSOR_QUAD_STORE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables compressor quad store.	ds4.c:23534
runtime/metal	DS4_METAL_DISABLE_COMPRESSOR_RATIO4_DIRECT_POOL	presence rollback; unset: automatic/default path; any value including 0 disables	Disables compressor ratio4 direct pool.	ds4_metal.m:26245
runtime/metal	DS4_METAL_DISABLE_COMPRESSOR_RATIO4_PACK_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables compressor ratio4 pack fusion.	ds4_metal.m:26199
runtime/metal	DS4_METAL_DISABLE_COMPRESSOR_STORE_ONE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables compressor store one.	ds4_metal.m:23249
runtime/metal	DS4_METAL_DISABLE_CONTIG_F16_F16_COPY	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Disables contig F16 F16 copy.	ds4_metal.m:29562
runtime/metal	DS4_METAL_DISABLE_CONTIG_F32_F16_COPY	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Disables contig F32 F16 copy.	ds4_metal.m:29338
runtime/metal	DS4_METAL_DISABLE_DECODE_ARGMAX_TOP1	presence rollback; unset uses the dedicated two-dispatch top-1 reduction for eligible large Metal rows; any defined value including empty or 0 restores the generic full argsort	Restore the generic indexer argsort for decode argmax A/B and emergency rollback.	ds4_metal.m:21517
runtime/metal	DS4_METAL_DISABLE_DECODE_NORM_EXACT_VIEWS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables decode norm exact views.	ds4_metal.m:36207
runtime/metal	DS4_METAL_DISABLE_DECODE_RAW_GATHERED_ATTN	presence rollback; unset: raw-only decode uses gathered attention; any value including 0 restores the legacy raw path	Restores the separate raw-only attention path instead of gathered staging and attention.	ds4_metal.m:32968
runtime/metal	DS4_METAL_DISABLE_DECODE_RAW_PACKED32	presence rollback; unset: raw-only gathered attention may use packed32; any value including 0 disables it for raw-only layers	Disables the packed32 reduce kernel for raw-only gathered attention while leaving compressed layers unchanged.	ds4_metal.m:31464
runtime/metal	DS4_METAL_DISABLE_DECODE_ROUTER_BIAS_EXACT_VIEWS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables decode router bias exact views.	ds4_metal.m:39397
runtime/metal	DS4_METAL_DISABLE_DSPARK_CAPTURE_FUSED_LAST	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables DSpark capture fused last.	ds4.c:28361
runtime/metal	DS4_METAL_DISABLE_DSPARK_EXACTN_BATCH_HEAD	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables DSpark exactn batch head.	ds4.c:37728
runtime/metal	DS4_METAL_DISABLE_EXACT_ROWS_PERSISTENT_CACHE	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables exact rows persistent cache.	ds4_metal.m:13000
runtime/metal	DS4_METAL_DISABLE_GATHERED_KV_PAD_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables gathered KV pad fusion.	ds4_metal.m:29706
runtime/metal	DS4_METAL_DISABLE_GATHERED_KV_STAGE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables gathered KV stage.	ds4_metal.m:29677
runtime/metal	DS4_METAL_DISABLE_GLM_DECODE_KV_GROUP4	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Disables GLM decode KV group4.	ds4_metal.m:36742
runtime/metal	DS4_METAL_DISABLE_GLM_QKLOW_SG	presence rollback; unset: automatic/default path; any value including 0 disables	Disables GLM qklow sg.	ds4_metal.m:37865
runtime/metal	DS4_METAL_DISABLE_GLM_STREAMING_EXPERT_EARLY_LOAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables GLM streaming expert early load.	ds4_metal.m:18058
runtime/metal	DS4_METAL_DISABLE_GLM_STREAMING_EXPERT_SPLIT	presence rollback; unset: automatic/default path; any value including 0 disables	Disables GLM streaming expert split.	ds4_metal.m:39796
runtime/metal	DS4_METAL_DISABLE_GLM_STREAMING_PREFILL_FULL_LAYER	presence rollback; unset: automatic/default path; any value including 0 disables	Disables GLM streaming prefill full layer.	ds4.c:42710
runtime/metal	DS4_METAL_DISABLE_GLM_STREAMING_PREFILL_FULL_LAYER_PREPARE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables GLM streaming prefill full layer prepare.	ds4.c:42728
runtime/metal	DS4_METAL_DISABLE_GLM_STREAMING_PREFILL_SELECTED_ASYNC_LOAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables GLM streaming prefill selected async load.	ds4.c:46421
runtime/metal	DS4_METAL_DISABLE_GLM_STREAMING_SELECTED_ASYNC_LOAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables GLM streaming selected async load.	ds4.c:44329
runtime/metal	DS4_METAL_DISABLE_HC_FUSION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables HC fusion.	ds4.c:20406
runtime/metal	DS4_METAL_DISABLE_HC_NORM_FUSION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables HC norm fusion.	ds4.c:20450
runtime/metal	DS4_METAL_DISABLE_HC_PRODUCER_PRE_NORM_FUSE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables HC producer pre norm fuse.	ds4_metal.m:46541
runtime/metal	DS4_METAL_DISABLE_HC_RMS_SCALE_PROJ	presence rollback; unset: automatic/default path; any value including 0 disables	Disables HC RMS scale proj.	ds4_metal.m:24148
runtime/metal	DS4_METAL_DISABLE_HOT_PIPELINE_STATICS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables hot pipeline statics.	ds4_metal.m:2634
runtime/metal	DS4_METAL_DISABLE_INPLACE_ROPE_PAIR	presence rollback; unset: automatic/default path; any value including 0 disables	Disables inplace RoPE pair.	ds4_metal.m:25170
runtime/metal	DS4_METAL_DISABLE_IQ2_SELECTED_EXPERT_VIEWS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables IQ2 selected expert views.	ds4.c:21080
runtime/metal	DS4_METAL_DISABLE_IQ2_SELECTED_SHARED_OVERLAP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables IQ2 selected shared overlap.	ds4.c:20996
runtime/metal	DS4_METAL_DISABLE_IQ2_STREAM_ADDR_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables IQ2 stream address table.	ds4_metal.m:42402
runtime/metal	DS4_METAL_DISABLE_IQ2_XXS_SSD_PREFILL_MM	value-aware boolean; default off; true disables and dominates ENABLE; false leaves automatic policy	Rolls grouped IQ2_XXS/Q2_K SSD-prefill MM back to sparse matvec.	ds4_metal.m:44784
runtime/metal	DS4_METAL_DISABLE_KV_FUSION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables KV fusion.	ds4.c:20430
runtime/metal	DS4_METAL_DISABLE_M1_IQ2_MID_ONLY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M1 IQ2 mid only.	ds4_metal.m:14592
runtime/metal	DS4_METAL_DISABLE_M3_COMPRESSOR_EXACT_POOL_RATIO4	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M3 compressor exact pool ratio4.	ds4_metal.m:26381
runtime/metal	DS4_METAL_DISABLE_M3_COMPRESSOR_PAIR_STATE_STORE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M3 compressor pair state store.	ds4_metal.m:23247
runtime/metal	DS4_METAL_DISABLE_M3_GATHERED_KV_STAGE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M3 gathered KV stage.	ds4_metal.m:29678
runtime/metal	DS4_METAL_DISABLE_M5_COMPRESSOR_EXACT_POOL_RATIO4	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M5 compressor exact pool ratio4.	ds4_metal.m:26384
runtime/metal	DS4_METAL_DISABLE_M5_COMP_FINALIZE_FUSE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M5 comp finalize fuse.	ds4.c:23647
runtime/metal	DS4_METAL_DISABLE_M5_FLASH_ATTN_PACKED32_REDUCE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M5 flash attn packed32 reduce.	ds4_metal.m:31519
runtime/metal	DS4_METAL_DISABLE_M5_HC_NORM_MIX_CLUSTER2	presence rollback; unset: automatic/default path; any value including 0 disables	Disables M5 HC norm mix cluster2.	ds4_metal.m:46496
